Statistical profiling result from isolate-0x1f776000-4128116-v8.log, (1074 ticks, 9 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.2%  JS: +leave file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:19108:8
      1    0.1%    0.2%  JS: +enter file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:19069:8
      1    0.1%    0.2%  JS: *getPathFromURLPosix node:internal/url:1565:29
      1    0.1%    0.2%  JS: *encodeInteger file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:136:23
      1    0.1%    0.2%  Builtin: WeakMapGet
      1    0.1%    0.2%  Builtin: ToBooleanForBaselineJump
      1    0.1%    0.2%  Builtin: Subtract_Baseline
      1    0.1%    0.2%  Builtin: StringSlowFlatten
      1    0.1%    0.2%  Builtin: StringPrototypeIncludes
      1    0.1%    0.2%  Builtin: StringConstructor
      1    0.1%    0.2%  Builtin: StoreInArrayLiteralIC
      1    0.1%    0.2%  Builtin: StoreIC
      1    0.1%    0.2%  Builtin: StoreFastElementIC_InBounds
      1    0.1%    0.2%  Builtin: SetProperty
      1    0.1%    0.2%  Builtin: ResolvePromise
      1    0.1%    0.2%  Builtin: RecordWriteSaveFP
      1    0.1%    0.2%  Builtin: RecordWriteIgnoreFP
      1    0.1%    0.2%  Builtin: ProxyGetProperty
      1    0.1%    0.2%  Builtin: PromiseFulfillReactionJob
      1    0.1%    0.2%  Builtin: OrdinaryGetOwnPropertyDescriptor
      1    0.1%    0.2%  Builtin: NewRestArgumentsElements
      1    0.1%    0.2%  Builtin: LoadJoinElement_FastSmiOrObjectElements_0
      1    0.1%    0.2%  Builtin: LoadIC
      1    0.1%    0.2%  Builtin: KeyedStoreIC_Megamorphic
      1    0.1%    0.2%  Builtin: KeyedHasIC_Megamorphic
      1    0.1%    0.2%  Builtin: Increment_Baseline
      1    0.1%    0.2%  Builtin: GreaterThan_Baseline
      1    0.1%    0.2%  Builtin: GetProperty
      1    0.1%    0.2%  Builtin: FindNonDefaultConstructorOrConstruct
      1    0.1%    0.2%  Builtin: FastNewStrictArguments
      1    0.1%    0.2%  Builtin: FastNewObject
      1    0.1%    0.2%  Builtin: FastNewClosure
      1    0.1%    0.2%  Builtin: FastFunctionPrototypeBind
      1    0.1%    0.2%  Builtin: Equal_Baseline
      1    0.1%    0.2%  Builtin: CreateDataProperty
      1    0.1%    0.2%  Builtin: CompileLazy
      1    0.1%    0.2%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
      1    0.1%    0.2%  Builtin: BitwiseOr_Baseline
      1    0.1%    0.2%  Builtin: AsyncFunctionEnter
      1    0.1%    0.2%  Builtin: AsyncFunctionAwait
      1    0.1%    0.2%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      1    0.1%    0.2%  Builtin: ArrayPrototypeUnshift
      1    0.1%    0.2%  Builtin: ArrayPrototypePush
      1    0.1%    0.2%  Builtin: ArrayMap
      1    0.1%    0.2%  Builtin: Add_Baseline

 [C++]:
   ticks  total  nonlib   name
     50    4.7%   10.5%  __syscall_cancel_arch
     42    3.9%    8.8%  __syscall_cancel_arch_end
     35    3.3%    7.4%  syscall@@GLIBC_2.2.5
     24    2.2%    5.1%  pthread_sigmask@GLIBC_2.2.5
     14    1.3%    2.9%  __memcpy_avx_unaligned_erms_rtm
     10    0.9%    2.1%  pthread_cond_signal@@GLIBC_2.3.2
      6    0.6%    1.3%  __munmap@@GLIBC_PRIVATE
      6    0.6%    1.3%  __memset_avx2_unaligned_erms_rtm
      6    0.6%    1.3%  __libc_malloc@@GLIBC_2.2.5
      5    0.5%    1.1%  __mmap@@GLIBC_PRIVATE
      4    0.4%    0.8%  malloc_consolidate
      4    0.4%    0.8%  cfree@GLIBC_2.2.5
      4    0.4%    0.8%  _int_malloc
      3    0.3%    0.6%  operator new(unsigned long)@@GLIBCXX_3.4
      3    0.3%    0.6%  operator delete(void*)@@GLIBCXX_3.4
      3    0.3%    0.6%  __memcmp_avx2_movbe_rtm
      3    0.3%    0.6%  __GI___lll_lock_wake
      2    0.2%    0.4%  unlink_chunk.isra.0
      2    0.2%    0.4%  tcgetattr@@GLIBC_2.2.5
      2    0.2%    0.4%  _int_free_chunk
      2    0.2%    0.4%  _dl_addr
      1    0.1%    0.2%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.1%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.1%    0.2%  socketpair@@GLIBC_2.2.5
      1    0.1%    0.2%  pipe2@@GLIBC_2.9
      1    0.1%    0.2%  mkdir@@GLIBC_2.2.5
      1    0.1%    0.2%  kill@@GLIBC_2.2.5
      1    0.1%    0.2%  ioctl@@GLIBC_2.2.5
      1    0.1%    0.2%  access@@GLIBC_2.2.5
      1    0.1%    0.2%  _dl_relocate_object_no_relro
      1    0.1%    0.2%  __strncmp_avx2_rtm
      1    0.1%    0.2%  __strlen_avx2_rtm
      1    0.1%    0.2%  __pthread_rwlock_unlock@GLIBC_2.2.5
      1    0.1%    0.2%  __madvise@@GLIBC_PRIVATE
      1    0.1%    0.2%  __GI___munmap

 [Summary]:
   ticks  total  nonlib   name
    222   20.7%   46.7%  JavaScript
    244   22.7%   51.4%  C++
     87    8.1%   18.3%  GC
    599   55.8%          Shared libraries
      9    0.8%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     50   24.9%    4.7%  __syscall_cancel_arch
     40   19.9%    3.7%  __syscall_cancel_arch_end
     24   11.9%    2.2%  pthread_sigmask@GLIBC_2.2.5
     15    7.5%    1.4%  syscall@@GLIBC_2.2.5
     10    5.0%    0.9%  pthread_cond_signal@@GLIBC_2.3.2
      7    3.5%    0.7%  __memcpy_avx_unaligned_erms_rtm
      6    3.0%    0.6%  __memset_avx2_unaligned_erms_rtm
      6    3.0%    0.6%  __libc_malloc@@GLIBC_2.2.5
      4    2.0%    0.4%  malloc_consolidate
      4    2.0%    0.4%  cfree@GLIBC_2.2.5
      3    1.5%    0.3%  operator new(unsigned long)@@GLIBCXX_3.4
      3    1.5%    0.3%  operator delete(void*)@@GLIBCXX_3.4
      3    1.5%    0.3%  __memcmp_avx2_movbe_rtm
      3    1.5%    0.3%  __GI___lll_lock_wake
      2    1.0%    0.2%  unlink_chunk.isra.0
      2    1.0%    0.2%  tcgetattr@@GLIBC_2.2.5
      2    1.0%    0.2%  _int_malloc
      2    1.0%    0.2%  _dl_addr
      1    0.5%    0.1%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.5%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.5%    0.1%  socketpair@@GLIBC_2.2.5
      1    0.5%    0.1%  pipe2@@GLIBC_2.9
      1    0.5%    0.1%  mkdir@@GLIBC_2.2.5
      1    0.5%    0.1%  kill@@GLIBC_2.2.5
      1    0.5%    0.1%  ioctl@@GLIBC_2.2.5
      1    0.5%    0.1%  access@@GLIBC_2.2.5
      1    0.5%    0.1%  _int_free_chunk
      1    0.5%    0.1%  _dl_relocate_object_no_relro
      1    0.5%    0.1%  __strncmp_avx2_rtm
      1    0.5%    0.1%  __strlen_avx2_rtm
      1    0.5%    0.1%  __pthread_rwlock_unlock@GLIBC_2.2.5
      1    0.5%    0.1%  __madvise@@GLIBC_PRIVATE
      1    0.5%    0.1%  __GI___munmap

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    599   55.8%  /usr/local/google/home/adibakm/.local/share/nvm/v25.0.0/bin/node
    389   64.9%    /usr/local/google/home/adibakm/.local/share/nvm/v25.0.0/bin/node
     86   22.1%      JS: ^compileSourceTextModule node:internal/modules/esm/utils:355:33
     86  100.0%        JS: ^moduleStrategy node:internal/modules/esm/translators:103:50
     86  100.0%          JS: ^#translate node:internal/modules/esm/loader:556:13
     86  100.0%            JS: ^afterLoad node:internal/modules/esm/loader:613:23
     18    4.6%      Builtin: RegExpPrototypeTest
      7   38.9%        JS: ~<anonymous> node:internal/dns/promises:135:22
      7  100.0%          Builtin: PromiseConstructor
      7  100.0%            JS: ~createLookupPromise node:internal/dns/promises:134:29
      2   11.1%        JS: ^<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30567:40
      1   50.0%          JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30591:21
      1  100.0%            Builtin: ArraySome
      1   50.0%          JS: ^<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30591:21
      1  100.0%            Builtin: ArraySome
      1    5.6%        Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/std-env/dist/index.mjs:1:1
      1  100.0%          Builtin: GeneratorPrototypeNext
      1  100.0%            Builtin: CallApiCallbackGeneric
      1    5.6%        JS: ~parse /usr/local/google/home/adibakm/gemini-cli/node_modules/vite/node_modules/picomatch/lib/parse.js:55:15
      1  100.0%          JS: ~picomatch.makeRe /usr/local/google/home/adibakm/gemini-cli/node_modules/vite/node_modules/picomatch/lib/picomatch.js:285:20
      1  100.0%            JS: ~picomatch /usr/local/google/home/adibakm/gemini-cli/node_modules/vite/node_modules/picomatch/lib/picomatch.js:31:19
      1    5.6%        JS: ~matches$1 file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:8725:19
      1  100.0%          JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:8774:38
      1  100.0%            Builtin: ArrayPrototypeFind
      1    5.6%        JS: ~isNonJsRequest file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:29039:24
      1  100.0%          JS: ~handler file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:29114:29
      1  100.0%            JS: ~transform file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30990:17
      1    5.6%        JS: ~isFunction$1 file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:19135:22
      1  100.0%          JS: ~enter file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:19069:8
      1  100.0%            JS: ~visit file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:18755:7
      1    5.6%        JS: ~isCSS file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/cli-api.BkDphVBG.js:5957:15
      1  100.0%          JS: ~transform file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vitest/dist/chunks/cli-api.BkDphVBG.js:5984:12
      1  100.0%            JS: ~transform file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30990:17
      1    5.6%        JS: ~assetsInclude file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:35975:16
      1  100.0%          JS: ~handler file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:7437:17
      1  100.0%            JS: ~load file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30960:12
      1    5.6%        JS: ~PartialEnvironment file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:9517:13
      1  100.0%          JS: ~createResolver file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:36003:17
      1  100.0%            JS: ~createBackCompatIdResolver file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:31448:36
      1    5.6%        JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30567:40
      1  100.0%          JS: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:30592:21
      1  100.0%            Builtin: ArraySome
      8    2.1%      JS: ~moduleStrategy node:internal/modules/esm/translators:103:50
      5   62.5%        JS: ~#translate node:internal/modules/esm/loader:556:13
      5  100.0%          JS: ~afterLoad node:internal/modules/esm/loader:613:23
      5  100.0%            JS: ~loadAndTranslate node:internal/modules/esm/loader:611:19
      3   37.5%        JS: ^#translate node:internal/modules/esm/loader:556:13
      3  100.0%          JS: ^afterLoad node:internal/modules/esm/loader:613:23
      3  100.0%            JS: ^loadAndTranslate node:internal/modules/esm/loader:611:19
      6    1.5%      JS: ^__require node:internal/deps/undici/undici:5:49
      2   33.3%        JS: ~<anonymous> node:internal/deps/undici/undici:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      1   16.7%        JS: ~lib/web/websocket/connection.js node:internal/deps/undici/undici:12934:36
      1  100.0%          JS: ^__require node:internal/deps/undici/undici:5:49
      1  100.0%            JS: ~lib/web/websocket/websocket.js node:internal/deps/undici/undici:13552:35
      1   16.7%        JS: ~lib/web/fetch/util.js node:internal/deps/undici/undici:4841:26
      1  100.0%          JS: ^__require node:internal/deps/undici/undici:5:49
      1  100.0%            JS: ~lib/web/fetch/headers.js node:internal/deps/undici/undici:9411:29
      1   16.7%        JS: ~lib/web/fetch/headers.js node:internal/deps/undici/undici:9411:29
      1  100.0%          JS: ^__require node:internal/deps/undici/undici:5:49
      1  100.0%            JS: ~lib/web/fetch/response.js node:internal/deps/undici/undici:9884:30
      1   16.7%        JS: ~lib/api/index.js node:internal/deps/undici/undici:15828:21
      1  100.0%          JS: ^__require node:internal/deps/undici/undici:5:49
      1  100.0%            JS: ~<anonymous> node:internal/deps/undici/undici:1:1
      5    1.3%      Script: ~<anonymous> file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:1:1
      5  100.0%        Builtin: GeneratorPrototypeNext
      5  100.0%          Builtin: CallApiCallbackGeneric
      5  100.0%            JS: ~run node:internal/modules/esm/module_job:366:12
      4    1.0%      JS: ~resolveConfig file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:35752:29
      4  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
      4    1.0%      JS: ~loadAndTransform file:///usr/local/google/home/adibakm/gemini-cli/node_modules/vite/dist/node/chunks/dep-Chhhsdoe.js:26088:32
      4  100.0%        Builtin: AsyncFunctionAwaitResolveClosure
      1   25.0%          Builtin: CallApiCallbackGeneric
      1  100.0%            JS: ^processTicksAndRejections node:internal/process/task_queues:71:35
     78   13.0%    JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
     34   43.6%      JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    8.8%        JS: ~<anonymous> node:tls:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    8.8%        JS: ~<anonymous> node:internal/worker:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    8.8%        JS: ~<anonymous> node:internal/streams/duplex:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    8.8%        JS: ~<anonymous> node:internal/fs/promises:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    8.8%        JS: ~<anonymous> node:http2:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      3    8.8%        Builtin: ReflectGet
      3  100.0%          JS: ^getOwn node:internal/bootstrap/realm:202:16
      3  100.0%            JS: ^syncExports node:internal/bootstrap/realm:371:14
      2    5.9%        JS: ~<anonymous> node:tty:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      2    5.9%        JS: ~<anonymous> node:internal/main/run_main_module:1:1
      2    5.9%        JS: ~<anonymous> node:internal/fs/streams:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~newResolveCache node:internal/modules/esm/loader:80:25
      1  100.0%          JS: ~ModuleLoader node:internal/modules/esm/loader:158:3
      1  100.0%            JS: ~ModuleLoader node:internal/modules/esm/loader:194:14
      1    2.9%        JS: ~lazyLoadTranslators node:internal/modules/esm/loader:95:29
      1  100.0%          JS: ~getTranslators node:internal/modules/esm/loader:104:24
      1  100.0%            JS: ~ModuleLoader node:internal/modules/esm/loader:158:3
      1    2.9%        JS: ~<anonymous> node:stream:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:perf_hooks:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ~builtinStrategy node:internal/modules/esm/translators:457:52
      1    2.9%        JS: ~<anonymous> node:internal/webstreams/readablestream:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:internal/tls/common:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:internal/streams/compose:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~<anonymous> node:internal/http2/core:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    2.9%        JS: ~#cachedDefaultResolve node:internal/modules/esm/loader:749:24
      1  100.0%          JS: ~resolve node:internal/modules/esm/loader:725:10
      1  100.0%            JS: ~getModuleJobForImport node:internal/modules/esm/loader:316:30
      1    2.9%        /usr/local/google/home/adibakm/.local/share/nvm/v25.0.0/bin/node
      1  100.0%          JS: ~lib/web/webidl/index.js node:internal/deps/undici/undici:4262:28
      1  100.0%            JS: ^__require node:internal/deps/undici/undici:5:49
     34   43.6%      JS: +requireBuiltin node:internal/bootstrap/realm:420:24
     10   29.4%        JS: ~lazyUndici node:http:122:20
     10  100.0%          JS: ~get node:http:177:6
     10  100.0%            Builtin: ReflectGet
      7   20.6%        JS: ~<anonymous> node:crypto:1:1
      7  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      7  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      3    8.8%        JS: ~<anonymous> node:http:1:1
      3  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      3  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      2    5.9%        JS: ~<anonymous> node:internal/child_process:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: +requireBuiltin node:internal/bootstrap/realm:420:24
      2    5.9%        JS: ~<anonymous> node:assert:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      2  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    2.9%        JS: ~lazyWebCrypto node:crypto:131:23
      1  100.0%          JS: ~get node:crypto:359:8
      1  100.0%            Builtin: ReflectGet
